,0,1,2,3,4,5,6,7,8,9
0,tensor(1.3456),tensor(1.0096),tensor(0.8519),tensor(0.7517),tensor(0.6680),tensor(0.5953),tensor(0.5312),tensor(0.4713),tensor(0.4166),tensor(0.3690)
1,"tensor(53.0500, device='cuda:0')","tensor(61.4600, device='cuda:0')","tensor(68.1400, device='cuda:0')","tensor(70.5700, device='cuda:0')","tensor(69.4800, device='cuda:0')","tensor(69.9300, device='cuda:0')","tensor(71.7700, device='cuda:0')","tensor(72.0200, device='cuda:0')","tensor(70.1700, device='cuda:0')","tensor(73.2700, device='cuda:0')"
2,tensor(1.3371),tensor(1.0870),tensor(0.9411),tensor(0.8531),tensor(0.8756),tensor(0.9307),tensor(0.8679),tensor(0.9012),tensor(1.0120),tensor(0.9116)
